,Run,my_title,geno,pool,special,bleached,all,nonSym,cladeC,cladeD,included
1,SRR1812166,k1_Palumbi_lab_heat_resilience_PRJNA274410,86,HV,none,control,3266215,2431241,7535,827439,Y
2,SRR1812167,k1_Palumbi_lab_heat_resilience_PRJNA274410,6,HV,none,control,3319009,2556180,18724,744105,Y
3,SRR1812168,k1_Palumbi_lab_heat_resilience_PRJNA274410,27,HV,none,control,3228721,2462106,7019,759596,Y
4,SRR1812169,k1_Palumbi_lab_heat_resilience_PRJNA274410,87,HV,none,control,2491838,2222004,7508,262326,Y
5,SRR1812170,k1_Palumbi_lab_heat_resilience_PRJNA274410,83,HV,none,control,3506276,2925644,5076,575556,Y
6,SRR1812171,k1_Palumbi_lab_heat_resilience_PRJNA274410,85,HV,none,control,3123931,2427620,544535,151776,Y
7,SRR1812172,k1_Palumbi_lab_heat_resilience_PRJNA274410,75,HV,none,control,3745872,3100958,6042,638872,Y
8,SRR1812173,k1_Palumbi_lab_heat_resilience_PRJNA274410,4,HV,none,control,3438531,2598459,51705,788367,Y
9,SRR1812174,k1_Palumbi_lab_heat_resilience_PRJNA274410,7,HV,none,control,3110140,2463664,4138,642338,Y
10,SRR1812175,k1_Palumbi_lab_heat_resilience_PRJNA274410,88,HV,none,control,2450898,1684796,7005,759097,Y
11,SRR1812176,k1_Palumbi_lab_heat_resilience_PRJNA274410,86,HV,none,bleached,2565557,1809516,48032,708009,Y
12,SRR1812177,k1_Palumbi_lab_heat_resilience_PRJNA274410,6,HV,none,bleached,2720232,1943983,7979,768270,Y
13,SRR1812178,k1_Palumbi_lab_heat_resilience_PRJNA274410,27,HV,none,bleached,3411395,2588385,10488,812522,Y
14,SRR1812179,k1_Palumbi_lab_heat_resilience_PRJNA274410,87,HV,none,bleached,2229893,1903389,4509,321995,Y
15,SRR1812180,k1_Palumbi_lab_heat_resilience_PRJNA274410,83,HV,none,bleached,2654120,2178909,4784,470427,Y
16,SRR1812181,k1_Palumbi_lab_heat_resilience_PRJNA274410,85,HV,none,bleached,2977366,2002921,805571,168874,Y
17,SRR1812182,k1_Palumbi_lab_heat_resilience_PRJNA274410,75,HV,none,bleached,3450332,2759494,4865,685973,Y
18,SRR1812183,k1_Palumbi_lab_heat_resilience_PRJNA274410,4,HV,none,bleached,1885747,1387292,35986,462469,Y
19,SRR1812184,k1_Palumbi_lab_heat_resilience_PRJNA274410,7,HV,none,bleached,2993705,2106657,6413,880635,Y
20,SRR1812185,k1_Palumbi_lab_heat_resilience_PRJNA274410,88,HV,none,bleached,2799730,1974732,5650,819348,Y
21,SRR1812186,k1_Palumbi_lab_heat_resilience_PRJNA274410,102,MV,none,control,3145657,2478495,466136,201026,Y
22,SRR1812187,k1_Palumbi_lab_heat_resilience_PRJNA274410,70,MV,none,control,4012087,3153695,806215,52177,Y
23,SRR1812188,k1_Palumbi_lab_heat_resilience_PRJNA274410,28,MV,none,control,2825385,2184370,469535,171480,Y
24,SRR1812189,k1_Palumbi_lab_heat_resilience_PRJNA274410,11,MV,none,control,3550157,2878747,6270,665140,Y
25,SRR1812190,k1_Palumbi_lab_heat_resilience_PRJNA274410,89,MV,none,control,3717532,3023069,5116,689347,Y
26,SRR1812191,k1_Palumbi_lab_heat_resilience_PRJNA274410,65,MV,none,control,3511790,2750796,757269,3725,Y
27,SRR1812192,k1_Palumbi_lab_heat_resilience_PRJNA274410,68,MV,none,control,4156113,3050206,1099168,6739,Y
28,SRR1812193,k1_Palumbi_lab_heat_resilience_PRJNA274410,64,MV,none,control,3661975,2897775,757903,6297,Y
29,SRR1812194,k1_Palumbi_lab_heat_resilience_PRJNA274410,40,MV,none,control,3476486,2393454,781459,301573,Y
30,SRR1812195,k1_Palumbi_lab_heat_resilience_PRJNA274410,102,MV,none,bleached,2879764,2210046,544184,125534,Y
31,SRR1812196,k1_Palumbi_lab_heat_resilience_PRJNA274410,70,MV,none,bleached,3038018,2606447,351146,80425,Y
32,SRR1812197,k1_Palumbi_lab_heat_resilience_PRJNA274410,28,MV,none,bleached,2523858,2027441,350429,145988,Y
33,SRR1812198,k1_Palumbi_lab_heat_resilience_PRJNA274410,11,MV,none,bleached,3358019,2793229,6402,558388,Y
34,SRR1812199,k1_Palumbi_lab_heat_resilience_PRJNA274410,89,MV,none,bleached,3741644,2952601,5663,783380,Y
35,SRR1812200,k1_Palumbi_lab_heat_resilience_PRJNA274410,65,MV,none,bleached,2960815,2064627,891719,4469,Y
36,SRR1812201,k1_Palumbi_lab_heat_resilience_PRJNA274410,68,MV,none,bleached,2933016,2048352,876479,8185,Y
37,SRR1812202,k1_Palumbi_lab_heat_resilience_PRJNA274410,64,MV,none,bleached,2660582,2141228,514820,4534,Y
38,SRR1812203,k1_Palumbi_lab_heat_resilience_PRJNA274410,40,MV,none,bleached,2873002,1454811,1119218,298973,Y
39,SRR1812204,k1_Palumbi_lab_heat_resilience_PRJNA274410,86,MV,none,control,3223229,2546055,7088,670086,Y
40,SRR1812205,k1_Palumbi_lab_heat_resilience_PRJNA274410,6,MV,none,control,3478735,2434978,6344,1037413,Y
41,SRR1812206,k1_Palumbi_lab_heat_resilience_PRJNA274410,27,MV,none,control,2920742,2278057,5405,637280,Y
42,SRR1812207,k1_Palumbi_lab_heat_resilience_PRJNA274410,87,MV,none,control,3096401,2416834,7043,672524,Y
43,SRR1812208,k1_Palumbi_lab_heat_resilience_PRJNA274410,83,MV,none,control,3338729,2714811,5301,618617,Y
44,SRR1812209,k1_Palumbi_lab_heat_resilience_PRJNA274410,85,MV,none,control,3193693,2431751,753976,7966,Y
45,SRR1812210,k1_Palumbi_lab_heat_resilience_PRJNA274410,75,MV,none,control,3760301,2919509,5702,835090,Y
46,SRR1812211,k1_Palumbi_lab_heat_resilience_PRJNA274410,4,MV,none,control,4019284,3345651,6920,666713,Y
47,SRR1812212,k1_Palumbi_lab_heat_resilience_PRJNA274410,7,MV,none,control,3466240,2830126,4537,631577,Y
48,SRR1812213,k1_Palumbi_lab_heat_resilience_PRJNA274410,88,MV,none,control,3623032,2819980,5742,797310,Y
49,SRR1812214,k1_Palumbi_lab_heat_resilience_PRJNA274410,86,MV,preBleached,bleached,2602462,1891406,6555,704501,Y
50,SRR1812215,k1_Palumbi_lab_heat_resilience_PRJNA274410,6,MV,preBleached,bleached,2762763,2124860,5862,632041,Y
51,SRR1812216,k1_Palumbi_lab_heat_resilience_PRJNA274410,27,MV,preBleached,bleached,2949470,2068522,6902,874046,Y
52,SRR1812217,k1_Palumbi_lab_heat_resilience_PRJNA274410,87,MV,preBleached,bleached,2380210,1976518,5496,398196,Y
53,SRR1812218,k1_Palumbi_lab_heat_resilience_PRJNA274410,83,MV,preBleached,bleached,3044128,2213332,6751,824045,Y
54,SRR1812219,k1_Palumbi_lab_heat_resilience_PRJNA274410,85,MV,preBleached,bleached,2724324,1864794,854315,5215,Y
55,SRR1812220,k1_Palumbi_lab_heat_resilience_PRJNA274410,75,MV,preBleached,bleached,2616982,2144241,4174,468567,Y
56,SRR1812221,k1_Palumbi_lab_heat_resilience_PRJNA274410,4,MV,preBleached,bleached,2650981,2132746,4241,513994,Y
57,SRR1812222,k1_Palumbi_lab_heat_resilience_PRJNA274410,7,MV,preBleached,bleached,2442939,1974237,4850,463852,Y
58,SRR1812223,k1_Palumbi_lab_heat_resilience_PRJNA274410,88,MV,preBleached,bleached,3104571,2624732,3986,475853,Y
59,SRR1812224,k1_Palumbi_lab_heat_resilience_PRJNA274410,102,HV,none,control,3228622,2557091,476817,194714,Y
60,SRR1812225,k1_Palumbi_lab_heat_resilience_PRJNA274410,70,HV,none,control,3254145,2311898,786414,155833,Y
61,SRR1812226,k1_Palumbi_lab_heat_resilience_PRJNA274410,28,HV,none,control,3112609,2478228,561840,72541,Y
62,SRR1812227,k1_Palumbi_lab_heat_resilience_PRJNA274410,11,HV,none,control,2872660,2052376,815350,4934,Y
63,SRR1812228,k1_Palumbi_lab_heat_resilience_PRJNA274410,89,HV,none,control,3862695,3431015,4459,427221,Y
64,SRR1812229,k1_Palumbi_lab_heat_resilience_PRJNA274410,65,HV,none,control,3297965,2264428,1029209,4328,Y
65,SRR1812230,k1_Palumbi_lab_heat_resilience_PRJNA274410,61,HV,none,control,3607612,2861608,4794,741210,Y
66,SRR1812231,k1_Palumbi_lab_heat_resilience_PRJNA274410,64,HV,none,control,2972000,2281854,684756,5390,Y
67,SRR1812232,k1_Palumbi_lab_heat_resilience_PRJNA274410,40,HV,none,control,3856611,2651208,1198193,7210,Y
68,SRR1812233,k1_Palumbi_lab_heat_resilience_PRJNA274410,102,HV,preBleached,bleached,3049704,2337843,551130,160731,Y
69,SRR1812234,k1_Palumbi_lab_heat_resilience_PRJNA274410,70,HV,preBleached,bleached,2978669,2081232,719343,178094,Y
70,SRR1812235,k1_Palumbi_lab_heat_resilience_PRJNA274410,28,HV,preBleached,bleached,2936717,2286347,568386,81984,Y
71,SRR1812236,k1_Palumbi_lab_heat_resilience_PRJNA274410,11,HV,preBleached,bleached,3469882,2214705,1249887,5290,Y
72,SRR1812237,k1_Palumbi_lab_heat_resilience_PRJNA274410,89,HV,preBleached,bleached,3054240,2307734,5282,741224,Y
73,SRR1812238,k1_Palumbi_lab_heat_resilience_PRJNA274410,65,HV,preBleached,bleached,3034064,2352462,676825,4777,Y
74,SRR1812239,k1_Palumbi_lab_heat_resilience_PRJNA274410,61,HV,preBleached,bleached,2694326,2096092,4380,593854,Y
75,SRR1812240,k1_Palumbi_lab_heat_resilience_PRJNA274410,64,HV,preBleached,bleached,2567287,1925576,633579,8132,Y
76,SRR1812241,k1_Palumbi_lab_heat_resilience_PRJNA274410,40,HV,preBleached,bleached,2686934,1606859,1074434,5641,Y
77,SRR1812242,k1_Palumbi_lab_heat_resilience_PRJNA274410,86,HV,none,control,3485511,2771102,5988,708421,Y
78,SRR1812243,k1_Palumbi_lab_heat_resilience_PRJNA274410,6,HV,none,control,2575869,1950979,4681,620209,Y
79,SRR1812244,k1_Palumbi_lab_heat_resilience_PRJNA274410,27,HV,none,control,3087443,2705165,3879,378399,Y
80,SRR1812245,k1_Palumbi_lab_heat_resilience_PRJNA274410,87,HV,none,control,3469992,3174200,3750,292042,Y
81,SRR1812246,k1_Palumbi_lab_heat_resilience_PRJNA274410,83,HV,none,control,3239731,2821482,5543,412706,Y
82,SRR1812247,k1_Palumbi_lab_heat_resilience_PRJNA274410,85,HV,none,control,3709812,2822383,682466,204963,Y
83,SRR1812248,k1_Palumbi_lab_heat_resilience_PRJNA274410,75,HV,none,control,1661060,1309867,5364,345829,Y
84,SRR1812249,k1_Palumbi_lab_heat_resilience_PRJNA274410,4,HV,none,control,2998837,2321854,29057,647926,Y
85,SRR1812250,k1_Palumbi_lab_heat_resilience_PRJNA274410,7,HV,none,control,3144588,2515468,4486,624634,Y
86,SRR1812251,k1_Palumbi_lab_heat_resilience_PRJNA274410,88,HV,none,control,2828973,2119550,4320,705103,Y
87,SRR1812252,k1_Palumbi_lab_heat_resilience_PRJNA274410,86,HV,none,bleached,4068292,3248295,9118,810879,Y
88,SRR1812253,k1_Palumbi_lab_heat_resilience_PRJNA274410,6,HV,none,bleached,2620180,2130509,5220,484451,Y
89,SRR1812254,k1_Palumbi_lab_heat_resilience_PRJNA274410,27,HV,none,bleached,3350653,2691873,5491,653289,Y
90,SRR1812255,k1_Palumbi_lab_heat_resilience_PRJNA274410,87,HV,none,bleached,2580437,2299155,5354,275928,Y
91,SRR1812256,k1_Palumbi_lab_heat_resilience_PRJNA274410,83,HV,none,bleached,2776651,2277139,5576,493936,Y
92,SRR1812257,k1_Palumbi_lab_heat_resilience_PRJNA274410,85,HV,none,bleached,3140131,2404970,576987,158174,Y
93,SRR1812258,k1_Palumbi_lab_heat_resilience_PRJNA274410,75,HV,none,bleached,3049707,1979717,5970,1064020,Y
94,SRR1812259,k1_Palumbi_lab_heat_resilience_PRJNA274410,4,HV,none,bleached,2748509,1978106,191459,578944,Y
95,SRR1812260,k1_Palumbi_lab_heat_resilience_PRJNA274410,7,HV,none,bleached,4348297,3290221,8954,1049122,Y
96,SRR1812261,k1_Palumbi_lab_heat_resilience_PRJNA274410,88,HV,none,bleached,2619322,1833101,6439,779782,Y
97,SRR1812262,k1_Palumbi_lab_heat_resilience_PRJNA274410,102,MV,none,control,3842098,3222524,517907,101667,Y
98,SRR1812263,k1_Palumbi_lab_heat_resilience_PRJNA274410,70,MV,none,control,2857426,2242175,568166,47085,Y
99,SRR1812264,k1_Palumbi_lab_heat_resilience_PRJNA274410,28,MV,none,control,3659538,2896123,606540,156875,Y
100,SRR1812265,k1_Palumbi_lab_heat_resilience_PRJNA274410,11,MV,none,control,3728474,2917919,11018,799537,Y
101,SRR1812266,k1_Palumbi_lab_heat_resilience_PRJNA274410,89,MV,none,control,3427889,2858316,4812,564761,Y
102,SRR1812267,k1_Palumbi_lab_heat_resilience_PRJNA274410,65,MV,none,control,2570125,1923506,640381,6238,Y
103,SRR1812268,k1_Palumbi_lab_heat_resilience_PRJNA274410,68,MV,none,control,4645171,3663620,974051,7500,Y
104,SRR1812269,k1_Palumbi_lab_heat_resilience_PRJNA274410,64,MV,none,control,3600329,2857357,737014,5958,Y
105,SRR1812270,k1_Palumbi_lab_heat_resilience_PRJNA274410,40,MV,none,control,3337850,2156925,1137209,43716,Y
106,SRR1812271,k1_Palumbi_lab_heat_resilience_PRJNA274410,102,MV,none,bleached,3559704,2533830,720611,305263,Y
107,SRR1812272,k1_Palumbi_lab_heat_resilience_PRJNA274410,70,MV,none,bleached,2714236,2278162,374885,61189,Y
108,SRR1812273,k1_Palumbi_lab_heat_resilience_PRJNA274410,28,MV,none,bleached,3054751,2399333,393238,262180,Y
109,SRR1812274,k1_Palumbi_lab_heat_resilience_PRJNA274410,11,MV,none,bleached,2537380,2325327,3220,208833,Y
110,SRR1812275,k1_Palumbi_lab_heat_resilience_PRJNA274410,89,MV,none,bleached,3594908,2930901,6037,657970,Y
111,SRR1812276,k1_Palumbi_lab_heat_resilience_PRJNA274410,65,MV,none,bleached,3741379,2500058,1235026,6295,Y
112,SRR1812277,k1_Palumbi_lab_heat_resilience_PRJNA274410,68,MV,none,bleached,3387703,2707629,674897,5177,Y
113,SRR1812278,k1_Palumbi_lab_heat_resilience_PRJNA274410,64,MV,none,bleached,3012626,2273674,735151,3801,Y
114,SRR1812279,k1_Palumbi_lab_heat_resilience_PRJNA274410,40,MV,none,bleached,3400950,2739140,622380,39430,Y
115,SRR1812280,k1_Palumbi_lab_heat_resilience_PRJNA274410,86,MV,none,control,3054339,2515766,5080,533493,Y
116,SRR1812281,k1_Palumbi_lab_heat_resilience_PRJNA274410,6,MV,none,control,3032153,2203548,5735,822870,Y
117,SRR1812282,k1_Palumbi_lab_heat_resilience_PRJNA274410,27,MV,none,control,3061714,2563818,4027,493869,Y
118,SRR1812283,k1_Palumbi_lab_heat_resilience_PRJNA274410,87,MV,none,control,3616372,3272499,4471,339402,Y
119,SRR1812284,k1_Palumbi_lab_heat_resilience_PRJNA274410,83,MV,none,control,2539858,2162099,3889,373870,Y
120,SRR1812285,k1_Palumbi_lab_heat_resilience_PRJNA274410,85,MV,none,control,3463410,2750623,707750,5037,Y
121,SRR1812286,k1_Palumbi_lab_heat_resilience_PRJNA274410,75,MV,none,control,3322490,2622085,5388,695017,Y
122,SRR1812287,k1_Palumbi_lab_heat_resilience_PRJNA274410,4,MV,none,control,2985229,2356653,4429,624147,Y
123,SRR1812288,k1_Palumbi_lab_heat_resilience_PRJNA274410,7,MV,none,control,2614943,1966104,5001,643838,Y
124,SRR1812289,k1_Palumbi_lab_heat_resilience_PRJNA274410,88,MV,none,control,2829989,2222846,4285,602858,Y
125,SRR1812290,k1_Palumbi_lab_heat_resilience_PRJNA274410,86,MV,none,bleached,1010117,750309,2732,257076,Y
126,SRR1812291,k1_Palumbi_lab_heat_resilience_PRJNA274410,6,MV,none,bleached,2955366,2306976,6764,641626,Y
127,SRR1812292,k1_Palumbi_lab_heat_resilience_PRJNA274410,27,MV,none,bleached,3255466,2674485,5559,575422,Y
128,SRR1812293,k1_Palumbi_lab_heat_resilience_PRJNA274410,87,MV,none,bleached,2685826,2323511,5110,357205,Y
129,SRR1812294,k1_Palumbi_lab_heat_resilience_PRJNA274410,83,MV,none,bleached,2816432,1805983,7371,1003078,Y
130,SRR1812295,k1_Palumbi_lab_heat_resilience_PRJNA274410,85,MV,none,bleached,2363250,1890277,469513,3460,Y
131,SRR1812296,k1_Palumbi_lab_heat_resilience_PRJNA274410,75,MV,none,bleached,3645209,2600748,8004,1036457,Y
132,SRR1812297,k1_Palumbi_lab_heat_resilience_PRJNA274410,4,MV,none,bleached,3920306,2982557,6066,931683,Y
133,SRR1812298,k1_Palumbi_lab_heat_resilience_PRJNA274410,7,MV,none,bleached,3167920,2284883,4874,878163,Y
134,SRR1812299,k1_Palumbi_lab_heat_resilience_PRJNA274410,88,MV,none,bleached,3785405,3017783,5663,761959,Y
135,SRR1812300,k1_Palumbi_lab_heat_resilience_PRJNA274410,102,HV,none,control,2267436,1886696,270494,110246,Y
136,SRR1812301,k1_Palumbi_lab_heat_resilience_PRJNA274410,70,HV,none,control,2772185,2174197,480394,117594,Y
137,SRR1812302,k1_Palumbi_lab_heat_resilience_PRJNA274410,28,HV,none,control,3181666,2523091,571394,87181,Y
138,SRR1812303,k1_Palumbi_lab_heat_resilience_PRJNA274410,11,HV,none,control,2608816,2051598,551014,6204,Y
139,SRR1812304,k1_Palumbi_lab_heat_resilience_PRJNA274410,89,HV,none,control,3366897,2561438,5398,800061,Y
140,SRR1812305,k1_Palumbi_lab_heat_resilience_PRJNA274410,65,HV,none,control,2864942,2257889,602216,4837,Y
141,SRR1812306,k1_Palumbi_lab_heat_resilience_PRJNA274410,61,HV,none,control,2471046,2120467,4507,346072,Y
142,SRR1812307,k1_Palumbi_lab_heat_resilience_PRJNA274410,64,HV,none,control,3621043,2748898,802177,69968,Y
143,SRR1812308,k1_Palumbi_lab_heat_resilience_PRJNA274410,40,HV,none,control,2844663,2218404,622153,4106,Y
144,SRR1812309,k1_Palumbi_lab_heat_resilience_PRJNA274410,102,HV,none,bleached,3399802,2871212,401196,127394,Y
145,SRR1812310,k1_Palumbi_lab_heat_resilience_PRJNA274410,70,HV,none,bleached,2769455,2118763,404333,246359,Y
146,SRR1812311,k1_Palumbi_lab_heat_resilience_PRJNA274410,28,HV,none,bleached,3566800,2860022,571081,135697,Y
147,SRR1812312,k1_Palumbi_lab_heat_resilience_PRJNA274410,11,HV,none,bleached,2676825,1759747,908596,8482,Y
148,SRR1812313,k1_Palumbi_lab_heat_resilience_PRJNA274410,89,HV,none,bleached,3098279,2543955,3916,550408,Y
149,SRR1812314,k1_Palumbi_lab_heat_resilience_PRJNA274410,65,HV,none,bleached,2642022,1975414,662063,4545,Y
150,SRR1812315,k1_Palumbi_lab_heat_resilience_PRJNA274410,61,HV,none,bleached,2352821,1844071,4032,504718,Y
151,SRR1812316,k1_Palumbi_lab_heat_resilience_PRJNA274410,64,HV,none,bleached,2795912,2310825,480088,4999,Y
152,SRR1812317,k1_Palumbi_lab_heat_resilience_PRJNA274410,40,HV,none,bleached,2857869,2024089,825603,8177,Y
153,SRR629089,L_Barshis_bleachResillience_PRJNA177515,1,HV,none,control,979416,203615,2857,772944,Y
154,SRR629090,L_Barshis_bleachResillience_PRJNA177515,1,HV,none,bleached,1416544,518005,3263,895276,Y
155,SRR629091,L_Barshis_bleachResillience_PRJNA177515,2,HV,none,control,2928865,1273001,6600,1649264,Y
156,SRR629092,L_Barshis_bleachResillience_PRJNA177515,2,HV,none,bleached,1580526,730891,3139,846496,Y
157,SRR629093,L_Barshis_bleachResillience_PRJNA177515,3,HV,none,control,1520670,559344,4186,957140,Y
158,SRR629094,L_Barshis_bleachResillience_PRJNA177515,6,HV,none,control,1566183,762165,4416,799602,Y
159,SRR629095,L_Barshis_bleachResillience_PRJNA177515,6,HV,none,bleached,1264929,555846,4585,704498,Y
160,SRR629096,L_Barshis_bleachResillience_PRJNA177515,9,HV,none,control,1890167,873237,4511,1012419,Y
161,SRR629126,L_Barshis_bleachResillience_PRJNA177515,9,HV,none,bleached,1461434,464283,4463,992688,Y
162,SRR629127,L_Barshis_bleachResillience_PRJNA177515,75,HV,none,control,1116583,443558,3400,669625,Y
163,SRR629128,L_Barshis_bleachResillience_PRJNA177515,75,HV,none,bleached,569502,163535,2181,403786,Y
164,SRR629129,L_Barshis_bleachResillience_PRJNA177515,31,MV,none,control,2067933,1727669,337571,2693,N
165,SRR629130,L_Barshis_bleachResillience_PRJNA177515,31,MV,none,bleached,807771,628554,177075,2142,N
166,SRR629131,L_Barshis_bleachResillience_PRJNA177515,40,MV,none,control,1781688,1016777,761002,3909,Y
167,SRR629132,L_Barshis_bleachResillience_PRJNA177515,40,MV,none,bleached,1199064,748790,441562,8712,Y
168,SRR629133,L_Barshis_bleachResillience_PRJNA177515,44,MV,none,control,1876796,834399,5234,1037163,N
169,SRR629134,L_Barshis_bleachResillience_PRJNA177515,44,MV,none,bleached,1394480,638850,752269,3361,N
170,SRR629135,L_Barshis_bleachResillience_PRJNA177515,45,MV,none,control,803490,225542,445138,132810,Y
171,SRR629136,L_Barshis_bleachResillience_PRJNA177515,45,MV,none,bleached,257135,79551,157807,19777,Y
172,SRR629150,L_Barshis_bleachResillience_PRJNA177515,55,MV,none,control,1660663,1054513,590409,15741,N
173,SRR629151,L_Barshis_bleachResillience_PRJNA177515,55,MV,none,bleached,1485601,598111,862946,24544,N
174,SRR629152,L_Barshis_bleachResillience_PRJNA177515,61,MV,none,control,1139200,976038,34880,128282,N
175,SRR629153,L_Barshis_bleachResillience_PRJNA177515,61,MV,none,bleached,2528698,2223313,14927,290458,N
176,SRR629154,L_Barshis_bleachResillience_PRJNA177515,65,MV,none,control,1811997,954105,850468,7424,Y
177,SRR629155,L_Barshis_bleachResillience_PRJNA177515,65,MV,none,bleached,1434444,589082,841511,3851,N
178,SRR629156,L_Barshis_bleachResillience_PRJNA177515,68,MV,none,control,216859,80524,105210,31125,Y
179,SRR629157,L_Barshis_bleachResillience_PRJNA177515,68,MV,none,bleached,1219104,685274,530844,2986,Y
180,SRR629158,L_Barshis_bleachResillience_PRJNA177515,70,MV,none,control,2091586,756035,1295046,40505,Y
181,SRR629159,L_Barshis_bleachResillience_PRJNA177515,70,MV,none,bleached,1313555,397024,894538,21993,Y
